Domain-04	POLITICS
ThesaurusConcept-2316	barge
ThesaurusConcept-2317	shortage
ThesaurusConcept-2318	food shortage
ThesaurusConcept-2319	financial equalisation
ThesaurusConcept-2320	aquaculture
ThesaurusConcept-2321	inward processing
ThesaurusConcept-2322	outward processing
ThesaurusConcept-2323	fishing season
ThesaurusConcept-2324	transitional period (EU)
ThesaurusConcept-2325	driving licence
ThesaurusConcept-2326	European driving licence
ThesaurusConcept-2327	building permit
ThesaurusConcept-2328	Aquitaine
ThesaurusConcept-2329	fishing permit
ThesaurusConcept-2330	work permit
ThesaurusConcept-2331	Peru
ThesaurusConcept-2332	personalisation of power
ThesaurusConcept-2333	elderly person
ThesaurusConcept-2334	divorced person
ThesaurusConcept-2335	married person
ThesaurusConcept-2336	Saudi Arabia
ThesaurusConcept-2337	legal person
ThesaurusConcept-2338	natural person
ThesaurusConcept-2339	separated person
ThesaurusConcept-2340	one person household
ThesaurusConcept-2341	widowed person
ThesaurusConcept-2342	staff
ThesaurusConcept-2343	ground staff
ThesaurusConcept-2345	groundnut
ThesaurusConcept-2346	EC category B staff
ThesaurusConcept-2347	EC category C staff
ThesaurusConcept-2348	EC category D staff
ThesaurusConcept-2349	drivers
ThesaurusConcept-2350	transport staff
ThesaurusConcept-2351	legal profession
ThesaurusConcept-2352	crew
ThesaurusConcept-2353	penitentiary staff
ThesaurusConcept-2354	Aragon
ThesaurusConcept-2355	financial loss
ThesaurusConcept-2356	animal plague
ThesaurusConcept-2357	pesticide
ThesaurusConcept-2358	small business
ThesaurusConcept-2359	small and medium-sized enterprises
ThesaurusConcept-2360	smallholding
ThesaurusConcept-2361	small town
ThesaurusConcept-2362	Lesser Antilles
ThesaurusConcept-2363	petition
ThesaurusConcept-2364	petrochemicals
ThesaurusConcept-2365	petrodollar
ThesaurusConcept-2366	petroleum
ThesaurusConcept-2367	pharmacology
ThesaurusConcept-2368	Philippines
ThesaurusConcept-2369	philosophy
ThesaurusConcept-2370	political philosophy
ThesaurusConcept-2371	arbitrage
ThesaurusConcept-2372	phosphorus
ThesaurusConcept-2373	photochemistry
ThesaurusConcept-2374	photovoltaic cell
ThesaurusConcept-2375	occupational physiology
ThesaurusConcept-2376	nuclear physics
ThesaurusConcept-2377	Picardy
ThesaurusConcept-2378	spare part
ThesaurusConcept-2379	Piedmont
ThesaurusConcept-2380	international arbitration
ThesaurusConcept-2381	precious stones
ThesaurusConcept-2382	fuel cell
ThesaurusConcept-2383	piracy
ThesaurusConcept-2384	fish farming
ThesaurusConcept-2385	cycle track
ThesaurusConcept-2386	investment transaction
ThesaurusConcept-2387	tariff ceiling
ThesaurusConcept-2388	political arbitration
ThesaurusConcept-2389	plain
ThesaurusConcept-2390	anti-crisis plan
ThesaurusConcept-2391	town-planning scheme
ThesaurusConcept-2392	Colombo Plan
ThesaurusConcept-2393	development plan
ThesaurusConcept-2394	financing plan
ThesaurusConcept-2395	plankton
ThesaurusConcept-2396	arboriculture
ThesaurusConcept-2397	educational planning
ThesaurusConcept-2398	family planning
ThesaurusConcept-2399	production planning
ThesaurusConcept-2400	transport planning
ThesaurusConcept-2401	market planning
ThesaurusConcept-2402	economic planning
ThesaurusConcept-2403	financial planning
ThesaurusConcept-2404	tree
ThesaurusConcept-2405	industrial planning
ThesaurusConcept-2406	national planning
ThesaurusConcept-2407	regional planning
ThesaurusConcept-2408	sectoral planning
ThesaurusConcept-2409	seedling
ThesaurusConcept-2410	plantation
ThesaurusConcept-2411	aquatic plant
ThesaurusConcept-2412	fodder plant
ThesaurusConcept-2413	industrial plant
ThesaurusConcept-2414	oleaginous plant
ThesaurusConcept-2415	conifer
ThesaurusConcept-2416	root crop
ThesaurusConcept-2417	textile plant
ThesaurusConcept-2418	tropical plant
ThesaurusConcept-2419	cultivation under plastic
ThesaurusConcept-2420	plasticiser
ThesaurusConcept-2421	plate
ThesaurusConcept-2422	political programme
ThesaurusConcept-2423	continental shelf
ThesaurusConcept-2424	platinum
ThesaurusConcept-2425	plaster
ThesaurusConcept-2426	deciduous tree
ThesaurusConcept-2427	full employment
ThesaurusConcept-2428	lead
ThesaurusConcept-2429	plutonium
ThesaurusConcept-2430	pneumatic tyre
ThesaurusConcept-2431	UN Development Programme
ThesaurusConcept-2432	UN Environment Programme
ThesaurusConcept-2433	weight and size
ThesaurusConcept-2434	retail outlet
ThesaurusConcept-2435	fish
ThesaurusConcept-2436	freshwater fish
ThesaurusConcept-2437	sea fish
ThesaurusConcept-2438	fresh fish
ThesaurusConcept-2439	Poitou-Charentes
ThesaurusConcept-2440	police
ThesaurusConcept-2441	criminal investigation department
ThesaurusConcept-2442	agricultural policy
ThesaurusConcept-2443	common agricultural policy
ThesaurusConcept-2444	national agricultural policy
ThesaurusConcept-2445	regional farm policy
ThesaurusConcept-2446	food policy
ThesaurusConcept-2447	banking policy
ThesaurusConcept-2448	budget policy
ThesaurusConcept-2449	trade policy
ThesaurusConcept-2450	common commercial policy
ThesaurusConcept-2451	EU policy
ThesaurusConcept-2452	voluntary restraint agreement
ThesaurusConcept-2453	archaeology
ThesaurusConcept-2454	EU employment policy
ThesaurusConcept-2455	common fisheries policy
ThesaurusConcept-2456	common price policy
ThesaurusConcept-2457	common transport policy
ThesaurusConcept-2458	short-term economic policy
ThesaurusConcept-2459	cultural policy
ThesaurusConcept-2460	aid policy
ThesaurusConcept-2461	austerity policy
ThesaurusConcept-2462	intervention policy
ThesaurusConcept-2463	investment policy
ThesaurusConcept-2464	defence policy
ThesaurusConcept-2465	development policy
ThesaurusConcept-2466	financing policy
ThesaurusConcept-2467	education policy
ThesaurusConcept-2468	employment policy
ThesaurusConcept-2469	business policy
ThesaurusConcept-2470	environmental policy
ThesaurusConcept-2471	architecture
ThesaurusConcept-2472	information policy
ThesaurusConcept-2473	communications policy
ThesaurusConcept-2474	competition policy
ThesaurusConcept-2475	construction policy
ThesaurusConcept-2476	fisheries policy
ThesaurusConcept-2477	agricultural production policy
ThesaurusConcept-2478	research policy
ThesaurusConcept-2479	health policy
ThesaurusConcept-2480	birth policy
ThesaurusConcept-2481	production policy
ThesaurusConcept-2482	solar architecture
ThesaurusConcept-2483	support policy
ThesaurusConcept-2484	population policy
ThesaurusConcept-2485	East-West policy
ThesaurusConcept-2486	exchange policy
ThesaurusConcept-2487	export policy
ThesaurusConcept-2488	import policy
ThesaurusConcept-2489	prices policy
ThesaurusConcept-2490	incomes policy
ThesaurusConcept-2491	pay policy
ThesaurusConcept-2492	archives
ThesaurusConcept-2493	policy on agricultural structures
ThesaurusConcept-2494	transport policy
ThesaurusConcept-2495	credit policy
ThesaurusConcept-2496	housing policy
ThesaurusConcept-2497	economic policy
ThesaurusConcept-2498	energy policy
ThesaurusConcept-2499	European defence policy
ThesaurusConcept-2500	foreign policy
ThesaurusConcept-2501	family policy
ThesaurusConcept-2502	financial policy
ThesaurusConcept-2503	Arctic
ThesaurusConcept-2504	fiscal policy
ThesaurusConcept-2505	forestry policy
ThesaurusConcept-2506	government policy
ThesaurusConcept-2507	industrial policy
ThesaurusConcept-2508	domestic policy
ThesaurusConcept-2509	migration policy
ThesaurusConcept-2510	monetary policy
ThesaurusConcept-2511	agri-monetary policy
ThesaurusConcept-2512	ports policy
ThesaurusConcept-2513	common ports policy
ThesaurusConcept-2514	silver
ThesaurusConcept-2515	regional policy
ThesaurusConcept-2516	EU regional policy
ThesaurusConcept-2517	social policy
ThesaurusConcept-2518	structural policy
ThesaurusConcept-2519	tariff policy
ThesaurusConcept-2520	common tariff policy
ThesaurusConcept-2521	pollutant
ThesaurusConcept-2522	atmospheric pollutant
ThesaurusConcept-2523	water pollutant
ThesaurusConcept-2524	pollution
ThesaurusConcept-2525	Argentina
ThesaurusConcept-2526	noise pollution
ThesaurusConcept-2527	atmospheric pollution
ThesaurusConcept-2528	chemical pollution
ThesaurusConcept-2529	pollution from land-based sources
ThesaurusConcept-2530	water pollution
ThesaurusConcept-2531	food contamination
ThesaurusConcept-2532	coastal pollution
ThesaurusConcept-2533	pollution of waterways
ThesaurusConcept-2534	soil pollution
ThesaurusConcept-2535	marine pollution
ThesaurusConcept-2536	dry farming
ThesaurusConcept-2537	organic pollution
ThesaurusConcept-2538	pollution from agricultural sources
ThesaurusConcept-2539	radioactive pollution
ThesaurusConcept-2540	stratospheric pollution
ThesaurusConcept-2541	thermal pollution
ThesaurusConcept-2542	transfrontier pollution
ThesaurusConcept-2543	Poland
ThesaurusConcept-2544	mixed cropping
ThesaurusConcept-2545	polymer
ThesaurusConcept-2546	Polynesia
ThesaurusConcept-2547	French Polynesia
ThesaurusConcept-2548	potato
ThesaurusConcept-2549	heat pump
ThesaurusConcept-2550	working population
ThesaurusConcept-2551	working population engaged in agriculture
ThesaurusConcept-2552	persons in work
ThesaurusConcept-2553	population of working age
ThesaurusConcept-2554	world population
ThesaurusConcept-2555	non-working population
ThesaurusConcept-2556	fishing agreement
ThesaurusConcept-2557	chemical weapon
ThesaurusConcept-2558	rural population
ThesaurusConcept-2559	urban population
ThesaurusConcept-2560	swine
ThesaurusConcept-2561	fishing port
ThesaurusConcept-2562	Puerto Rico
ThesaurusConcept-2563	Portugal
ThesaurusConcept-2564	regions of Portugal
ThesaurusConcept-2565	dominant position
ThesaurusConcept-2566	postal and telecommunications services
ThesaurusConcept-2567	conventional weapon
ThesaurusConcept-2568	potassium
ThesaurusConcept-2569	development potential
ThesaurusConcept-2570	Apulia
ThesaurusConcept-2571	push towing
ThesaurusConcept-2572	dust
ThesaurusConcept-2573	political power
ThesaurusConcept-2574	budgetary power
ThesaurusConcept-2575	purchasing power
ThesaurusConcept-2576	power of assessment
ThesaurusConcept-2577	power of implementation
ThesaurusConcept-2578	power of initiative
ThesaurusConcept-2579	supervisory power
ThesaurusConcept-2580	power of decision
ThesaurusConcept-2581	power to negotiate
ThesaurusConcept-2582	power of ratification
ThesaurusConcept-2583	discretionary power
ThesaurusConcept-2584	executive power
ThesaurusConcept-2585	judicial power
ThesaurusConcept-2586	legislative power
ThesaurusConcept-2587	statutory power
ThesaurusConcept-2588	public authorities
ThesaurusConcept-2589	pre-packaging
ThesaurusConcept-2590	generalised preferences
ThesaurusConcept-2591	agricultural levy
ThesaurusConcept-2592	ECSC levy
ThesaurusConcept-2593	first job
ThesaurusConcept-2594	early childhood
ThesaurusConcept-2595	nuclear weapon
ThesaurusConcept-2596	soil preparation
ThesaurusConcept-2597	barring of penalties by limitation
ThesaurusConcept-2598	Speaker of Parliament
ThesaurusConcept-2599	press
ThesaurusConcept-2600	political press
ThesaurusConcept-2601	survivor's benefit
ThesaurusConcept-2602	provision of services
ThesaurusConcept-2603	tactical nuclear weapon
ThesaurusConcept-2604	family benefit
ThesaurusConcept-2605	social-security benefit
ThesaurusConcept-2606	loan
ThesaurusConcept-2607	EIB loan
ThesaurusConcept-2608	ECSC loan
ThesaurusConcept-2609	Community loan
ThesaurusConcept-2610	Euratom loan
ThesaurusConcept-2611	prevention of pollution
ThesaurusConcept-2612	short-term forecast
ThesaurusConcept-2613	long-term forecast
ThesaurusConcept-2614	medium-term forecast
ThesaurusConcept-2615	budget estimate
ThesaurusConcept-2616	economic forecasting
ThesaurusConcept-2617	primacy of the law
ThesaurusConcept-2618	primacy of EU law
ThesaurusConcept-2619	bonus payment
ThesaurusConcept-2620	slaughter premium
ThesaurusConcept-2621	grubbing premium
ThesaurusConcept-2622	non-marketing premium
ThesaurusConcept-2623	insurance premium
ThesaurusConcept-2624	storage premium
ThesaurusConcept-2625	early fruit and vegetables
ThesaurusConcept-2626	polluter pays principle
ThesaurusConcept-2627	economic priority
ThesaurusConcept-2628	armed forces
ThesaurusConcept-2629	decision-making
ThesaurusConcept-2630	political prisoner
ThesaurusConcept-2631	deprivation of rights
ThesaurusConcept-2632	prices
ThesaurusConcept-2633	bracket price
ThesaurusConcept-2634	export price
ThesaurusConcept-2635	import price
ThesaurusConcept-2636	consumer price
ThesaurusConcept-2637	professional army
ThesaurusConcept-2638	producer price
ThesaurusConcept-2639	farm prices
ThesaurusConcept-2640	food price
ThesaurusConcept-2641	cif price
ThesaurusConcept-2642	purchase price
ThesaurusConcept-2643	sluice-gate price
ThesaurusConcept-2644	intervention price
ThesaurusConcept-2645	norm price
ThesaurusConcept-2646	price agreement
ThesaurusConcept-2647	military equipment
ThesaurusConcept-2648	offer price
ThesaurusConcept-2649	guide price
ThesaurusConcept-2650	basic price
ThesaurusConcept-2651	activating price
ThesaurusConcept-2652	retail price
ThesaurusConcept-2653	wholesale price
ThesaurusConcept-2654	price of energy
ThesaurusConcept-2655	price of farm land
ThesaurusConcept-2656	market prices
ThesaurusConcept-2657	reference price
ThesaurusConcept-2658	flavouring
ThesaurusConcept-2659	withdrawal price
ThesaurusConcept-2660	cost price
ThesaurusConcept-2661	threshold price
ThesaurusConcept-2662	support price
ThesaurusConcept-2663	standage
ThesaurusConcept-2664	selling price
ThesaurusConcept-2665	commodity price
ThesaurusConcept-2666	discriminatory price
ThesaurusConcept-2667	farm rent
ThesaurusConcept-2668	world market price
ThesaurusConcept-2669	administrative order
ThesaurusConcept-2670	price fixed in advance
ThesaurusConcept-2671	free-on-board price
ThesaurusConcept-2672	free-at-frontier price
ThesaurusConcept-2673	trigger price
ThesaurusConcept-2674	guaranteed price
ThesaurusConcept-2675	imposed price
ThesaurusConcept-2676	target price
ThesaurusConcept-2677	industrial price
ThesaurusConcept-2678	free price
ThesaurusConcept-2679	maximum price
ThesaurusConcept-2680	irrigation
ThesaurusConcept-2681	minimum price
ThesaurusConcept-2682	guaranteed minimum price
ThesaurusConcept-2683	average price
ThesaurusConcept-2684	preferential price
ThesaurusConcept-2685	reduced price
ThesaurusConcept-2686	delivered price
ThesaurusConcept-2687	representative price
ThesaurusConcept-2688	arts
ThesaurusConcept-2689	representative market price
ThesaurusConcept-2690	social problem
ThesaurusConcept-2691	urban problem
ThesaurusConcept-2692	chemical process
ThesaurusConcept-2693	electrical process
ThesaurusConcept-2694	physical process
ThesaurusConcept-2695	administrative procedure
ThesaurusConcept-2696	anti-subsidy proceeding
ThesaurusConcept-2697	popular art
ThesaurusConcept-2698	budgetary procedure
ThesaurusConcept-2699	civil procedure
ThesaurusConcept-2700	disciplinary proceedings
ThesaurusConcept-2701	judicial proceedings
ThesaurusConcept-2702	legislative procedure
ThesaurusConcept-2703	parliamentary procedure
ThesaurusConcept-2704	criminal procedure
ThesaurusConcept-2705	Middle East
ThesaurusConcept-2706	gift item
ThesaurusConcept-2707	production
ThesaurusConcept-2708	assembly line production
ThesaurusConcept-2709	agricultural production
ThesaurusConcept-2710	food production
ThesaurusConcept-2711	animal production
ThesaurusConcept-2712	craft production
ThesaurusConcept-2713	EU production
ThesaurusConcept-2714	continuous production
ThesaurusConcept-2715	energy production
ThesaurusConcept-2716	hydrogen production
ThesaurusConcept-2717	mass production
ThesaurusConcept-2718	fishery product
ThesaurusConcept-2719	underproduction
ThesaurusConcept-2720	industrial production
ThesaurusConcept-2721	world production
ThesaurusConcept-2722	national production
ThesaurusConcept-2723	crop production
ThesaurusConcept-2724	productivity
ThesaurusConcept-2725	agricultural productivity
ThesaurusConcept-2726	decorative item
ThesaurusConcept-2727	land productivity
ThesaurusConcept-2728	work productivity
ThesaurusConcept-2729	cereal product
ThesaurusConcept-2730	fruit product
ThesaurusConcept-2731	vegetable product
ThesaurusConcept-2732	fish product
ThesaurusConcept-2733	sugar product
ThesaurusConcept-2734	agricultural product
ThesaurusConcept-2735	foodstuff
ThesaurusConcept-2736	processed food product
ThesaurusConcept-2737	animal product
ThesaurusConcept-2738	meat product
ThesaurusConcept-2739	chemical product
ThesaurusConcept-2740	inorganic chemical product
ThesaurusConcept-2741	concentrated product
ThesaurusConcept-2742	packaged product
ThesaurusConcept-2743	frozen product
ThesaurusConcept-2744	cosmetic product
ThesaurusConcept-2745	sports equipment
ThesaurusConcept-2746	packaging product
ThesaurusConcept-2747	polishing and scouring preparations
ThesaurusConcept-2748	primary product
ThesaurusConcept-2749	confectionery product
ThesaurusConcept-2750	mass-consumption product
ThesaurusConcept-2751	substitute product
ThesaurusConcept-2752	desiccated product
ThesaurusConcept-2753	dietary product
ThesaurusConcept-2754	wood product
ThesaurusConcept-2755	toilet article
ThesaurusConcept-2756	bulk product
